X_GK,Y_GK,channel_azimuth_deg,source
4396451.0,4592343.97,173.4,river
4396451.0,4618943.97,4.6,river
4396451.0,4619643.97,3.3,river
4396451.0,4620343.97,4.8,river
4396451.0,4621043.97,8.2,river
4396451.0,4621743.97,13.2,river
4396451.0,4622443.97,40.5,river
4397151.0,4579043.97,168.5,river
4397151.0,4579743.97,157.7,river
4397151.0,4580443.97,156.3,river
4397151.0,4581143.97,160.2,river
4397151.0,4581843.97,165.7,river
4397151.0,4583943.97,153.2,river
4397151.0,4584643.97,151.3,river
4397151.0,4585343.97,164.7,river
4397151.0,4586043.97,141.3,river
4397151.0,4592343.97,179.5,river
4397151.0,4618943.97,2.9,river
4397151.0,4619643.97,179.6,river
4397151.0,4623143.97,60.6,river
4397151.0,4623843.97,70.0,river
4397151.0,4624543.97,72.3,river
4397151.0,4625243.97,72.9,river
4397151.0,4625943.97,73.6,river
4397151.0,4626643.97,73.7,river
4397851.0,4578343.97,3.0,river
4397851.0,4579043.97,0.0,river
4397851.0,4579743.97,175.9,river
4397851.0,4580443.97,171.5,river
4397851.0,4581143.97,171.4,river
4397851.0,4581843.97,174.8,river
4397851.0,4584643.97,12.0,river
4397851.0,4585343.97,33.6,river
4397851.0,4592343.97,1.7,river
4397851.0,4618243.97,179.4,river
4398551.0,4578343.97,10.2,river
4398551.0,4579043.97,8.0,river
4398551.0,4579743.97,7.4,river
4398551.0,4580443.97,2.4,river
4398551.0,4581143.97,179.8,river
4398551.0,4581843.97,0.8,river
4398551.0,4585343.97,35.7,river
4398551.0,4586043.97,43.2,river
4399251.0,4578343.97,15.9,river
4399251.0,4579043.97,12.9,river
4399251.0,4579743.97,16.0,river
4399251.0,4580443.97,10.8,river
4399251.0,4581143.97,6.1,river
4399251.0,4581843.97,4.8,river
4399251.0,4586043.97,47.4,river
4399251.0,4586743.97,60.0,river
4399251.0,4587443.97,64.7,river
4399951.0,4578343.97,16.6,river
4399951.0,4579043.97,14.6,river
4399951.0,4579743.97,17.8,river
4399951.0,4580443.97,17.3,river
4399951.0,4581143.97,10.6,river
4399951.0,4581843.97,7.4,river
4400651.0,4578343.97,17.7,river
4400651.0,4579043.97,15.7,river
4400651.0,4579743.97,17.0,river
4400651.0,4580443.97,18.7,river
4400651.0,4581143.97,13.1,river
4400651.0,4581843.97,6.4,river
4400651.0,4582543.97,13.2,river
4401351.0,4578343.97,18.6,river
4401351.0,4581143.97,14.0,river
4401351.0,4581843.97,2.1,river
4401351.0,4583243.97,33.8,river
4401351.0,4583943.97,48.2,river
4401351.0,4584643.97,58.8,river
4401351.0,4585343.97,60.0,river
4402051.0,4585343.97,62.6,river
