x_km,y_km,src
2.712,31.868,map1_tophat
2.772,31.869,map1_tophat
2.831,31.87,map1_tophat
2.89,31.87,map1_tophat
2.121,31.762,map1_tophat
2.18,31.763,map1_tophat
2.594,31.767,map1_tophat
2.654,31.768,map1_tophat
2.713,31.768,map1_tophat
2.772,31.769,map1_tophat
2.831,31.77,map1_tophat
2.89,31.77,map1_tophat
1.944,31.66,map1_tophat
2.003,31.661,map1_tophat
2.062,31.661,map1_tophat
2.121,31.662,map1_tophat
2.536,31.666,map1_tophat
2.595,31.667,map1_tophat
2.654,31.668,map1_tophat
2.713,31.668,map1_tophat
2.772,31.669,map1_tophat
2.832,31.67,map1_tophat
1.944,31.56,map1_tophat
2.003,31.561,map1_tophat
2.062,31.561,map1_tophat
2.477,31.566,map1_tophat
2.536,31.567,map1_tophat
2.595,31.567,map1_tophat
2.654,31.568,map1_tophat
2.714,31.568,map1_tophat
2.773,31.569,map1_tophat
1.826,31.459,map1_tophat
1.885,31.46,map1_tophat
1.944,31.46,map1_tophat
2.004,31.461,map1_tophat
2.477,31.466,map1_tophat
2.536,31.467,map1_tophat
2.596,31.467,map1_tophat
2.655,31.468,map1_tophat
2.714,31.468,map1_tophat
1.767,31.358,map1_tophat
1.826,31.359,map1_tophat
2.418,31.365,map1_tophat
2.478,31.366,map1_tophat
2.537,31.367,map1_tophat
2.596,31.367,map1_tophat
2.655,31.368,map1_tophat
1.767,31.258,map1_tophat
2.36,31.265,map1_tophat
2.419,31.265,map1_tophat
2.478,31.266,map1_tophat
2.537,31.267,map1_tophat
2.596,31.267,map1_tophat
2.36,31.165,map1_tophat
2.419,31.165,map1_tophat
2.478,31.166,map1_tophat
2.537,31.167,map1_tophat
2.597,31.167,map1_tophat
1.295,31.053,map1_tophat
1.354,31.054,map1_tophat
2.36,31.065,map1_tophat
2.419,31.065,map1_tophat
2.479,31.066,map1_tophat
2.538,31.067,map1_tophat
1.177,30.952,map1_tophat
1.236,30.953,map1_tophat
1.295,30.953,map1_tophat
2.42,30.965,map1_tophat
2.479,30.966,map1_tophat
1.118,30.851,map1_tophat
1.177,30.852,map1_tophat
1.236,30.853,map1_tophat
1.059,30.751,map1_tophat
1.118,30.751,map1_tophat
1.177,30.752,map1_tophat
1.0,30.65,map1_tophat
1.059,30.651,map1_tophat
2.066,30.662,map1_tophat
0.941,30.55,map1_tophat
1.0,30.55,map1_tophat
2.007,30.561,map1_tophat
2.066,30.562,map1_tophat
2.125,30.562,map1_tophat
0.882,30.449,map1_tophat
0.942,30.45,map1_tophat
1.001,30.45,map1_tophat
2.066,30.462,map1_tophat
0.824,30.348,map1_tophat
0.883,30.349,map1_tophat
0.942,30.35,map1_tophat
1.001,30.35,map1_tophat
1.06,30.351,map1_tophat
0.765,30.248,map1_tophat
0.824,30.248,map1_tophat
0.883,30.249,map1_tophat
0.942,30.25,map1_tophat
2.008,30.261,map1_tophat
2.067,30.262,map1_tophat
